Book Id,Title,Author,Author l-f,Additional Authors,Genre,Ratings Count,Reviews Count,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8306761,"For Darkness Shows the Stars (For Darkness Shows the Stars, #1)",Diana Peterfreund,"Peterfreund, Diana",,Science Fiction,18238,2707,0062006142,9780062006141,0,3.87,Balzer + Bray,Hardcover,407,2012,2012,,6/15/15,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
6137154,"Fire (Graceling Realm, #2)",Kristin Cashore,"Cashore, Kristin",,Fantasy,178571,10859,0803734611,9780803734616,5,4.08,Dial Books,Hardcover,480,2009,2009,,1/24/15,,,read,,,,1,,,0,,,,,
16068905,Fangirl,Rainbow Rowell,"Rowell, Rainbow",,Contemporary,653214,54273,,,5,4.01,St. Martin's Griffin,Kindle Edition,483,2013,2013,,1/8/15,,,read,,,,1,,,0,,,,,
3950967,The Tales of Beedle the Bard (Hogwarts Library),J.K. Rowling,"Rowling, J.K.",Lý Lan,Fantasy,448154,16443,0747599874,9780747599876,3,4.04,Bloomsbury,Hardcover,109,2008,2008,,1/8/15,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",,Fantasy,3064727,59796,,,5,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,Fantasy,2696842,44369,,,5,4.57,Scholastic Inc.,Paperback,652,2006,2005,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",,Fantasy,2886667,52537,,,5,4.56,Scholastic,Paperback,734,2002,2000,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",,Fantasy,2781798,48128,,,5,4.5,Scholastic Inc.,Paperback,870,2004,2003,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",,Fantasy,3193622,62940,043965548X,9780439655484,5,4.57,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,Fantasy,3092290,71084,,,5,4.61,Arthur A. Levine Books,Hardcover,759,2007,2007,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
2866413,"The Dragon Heir (The Heir Chronicles, #3)",Cinda Williams Chima,"Chima, Cinda Williams",,Fantasy,35317,1206,1423110706,9781423110705,3,4.14,"Little, Brown Books for Young Readers",Hardcover,499,2008,2008,,1/8/15,,,read,,,,1,,,0,,,,,
213647,"The Warrior Heir (The Heir Chronicles, #1)",Cinda Williams Chima,"Chima, Cinda Williams",,Fantasy,49555,3303,0786839171,9780786839179,4,3.94,Hyperion Paperbacks,Paperback,426,2007,2006,,1/8/15,,,read,,,,1,,,0,,,,,
6342491,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,"Chima, Cinda Williams",,Fantasy,78208,5412,1423118235,9781423118237,2,4.11,Hyperion Books,Hardcover,506,2009,2009,,1/8/15,,,read,,,,1,,,0,,,,,
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,Fantasy,241915,10595,0375856110,9780375856112,5,4.09,Alfred A. Knopf,Hardcover,849,2011,2011,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,Fantasy,333779,9445,0375826726,9780375826726,5,4.05,Alfred A. Knopf,Hardcover,748,2008,2008,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,Fantasy,392754,10109,0375840400,9780375840401,4,3.99,Knopf Books for Young Readers,Paperback,704,2007,2005,,1/8/15,,,read,,,,1,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,Science Fiction,2599793,107930,0439023513,9780439023511,4,4.05,Scholastic Press,Hardcover,398,2010,2010,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,Science Fiction,2811986,100875,0439023491,9780439023498,5,4.3,Scholastic Press,Hardcover,391,2009,2009,,1/8/15,,,read,,,,1,,,0,,,,,
20829994,Percy Jackson's Greek Gods,Rick Riordan,"Riordan, Rick",John Rocco,Fantasy,61911,4134,,,0,4.48,Disney Hyperion,Kindle Edition,417,2014,2014,,1/8/15,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
2921082,"The Maze of Bones  (The 39 Clues, #1)",Rick Riordan,"Riordan, Rick",,Mystery,79913,4945,0545060397,9780545060394,3,3.85,"Scholastic, Inc.",Hardcover,220,2008,2008,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"Riordan, Rick",,Fantasy,242404,17157,1484724917,9781423146735,3,4.4,Disney-Hyperion Books,Hardcover,516,2014,2014,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,Fantasy,315586,16552,1423146727,9781423146728,5,4.51,Disney-Hyperion Books,Hardcover,597,2013,2013,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,Fantasy,494892,18555,1423140605,9781423140603,5,4.44,Disney-Hyperion Books,Hardcover,586,2012,2012,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,Fantasy,472425,17567,1423140591,9781423140597,5,4.41,Disney-Hyperion Books,Hardcover,521,2011,2011,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,Fantasy,769552,27371,0739380338,9780739380338,5,4.5,,Audio CD,387,2009,2009,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,Fantasy,866400,31224,0786856866,9780786856862,4,4.24,Hyperion Books,Hardcover,279,2006,2006,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"Riordan, Rick",,Fantasy,842717,22747,,,5,4.39,Hyperion Books for Children,Hardcover,361,2008,2008,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
8755785,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,"Clare, Cassandra",,Fantasy,335425,25264,1481426303,9781481426305,4,4.39,Margaret K. McElderry Books,Hardcover,725,2014,2014,,1/8/15,,,read,,,,1,,,0,,,,,
18335634,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"Clare, Cassandra",,Fantasy,392353,33793,1406321346,9781406321340,5,4.54,Walker Books Ltd,Paperback,567,2013,2013,,1/8/15,,,read,,,,1,,,0,,,,,
10025305,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"Clare, Cassandra",,Fantasy,497876,26232,1416975888,9781416975885,5,4.41,Margaret K. McElderry Books,Hardcover,498,2011,2011,,1/8/15,,,read,,,,1,,,0,,,,,
8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,"Clare, Cassandra",,Fantasy,475579,21610,1442416866,9781442416864,4,4.23,Margaret K. McElderry Books,Hardcover,535,2012,2012,,1/8/15,,,read,,,,1,,,0,,,,,
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"Clare, Cassandra",,Fantasy,538146,24606,1442403543,9781442403543,4,4.09,Margaret K. McElderry Books,Hardcover,425,2011,2011,,1/8/15,,,read,,,,1,,,0,,,,,
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"Clare, Cassandra",,Fantasy,829541,31720,1416914293,9781416914297,4,4.14,Margaret K. McElderry Books,Hardcover,453,2008,2008,,1/8/15,,,read,,,,1,,,0,,,,,
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"Clare, Cassandra",,Fantasy,870148,30148,1416914307,9781416914303,5,4.29,Margaret K. McElderry Books,Hardcover,541,2009,2009,,1/8/15,,,read,,,,1,,,0,,,,,
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,Historical,1264704,59753,1594489505,9781594489501,5,4.39,Riverhead Books,Hardcover,372,2007,2007,,1/8/15,,,read,,,,1,,,0,,,,,
6644117,"The Iron King (The Iron Fey, #1)",Julie Kagawa,"Kagawa, Julie",,Fantasy,212004,12449,0373210086,9780373210084,3,3.89,Harlequin Teen,Paperback,363,2010,2010,,1/8/15,,,read,,,,1,,,0,,,,,
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,Mystery,525367,34603,0316206849,9780316206846,4,3.87,Mulholland Books,Hardcover,456,2013,2013,,1/8/15,,,read,,,,1,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,Contemporary,4017598,161461,,,4,4.18,Dutton Books,Hardcover,313,2012,2012,,1/8/15,,,read,,,,1,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,Historical,2644061,80192,,,5,4.31,Riverhead Books,Paperback,371,2004,2003,,1/8/15,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,Classics,4176040,76393,,,4,3.93,Scribner,Paperback,200,2004,1925,,1/8/15,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,Classics,4978533,98689,,,5,4.27,Harper Perennial Modern Classics ,Paperback,324,2006,1960,,1/8/15,,,read,,,,1,,,0,,,,,
1656001,"The Host (The Host, #1)",Stephenie Meyer,"Meyer, Stephenie",,Science Fiction,950689,42145,0316068047,9780316068048,4,3.85,"Little, Brown and Company",Hardcover,624,2008,2008,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"Clare, Cassandra",,Fantasy,750439,35396,1416975861,9781416975861,5,4.3,Margaret K. McElderry Books,Hardcover,479,2010,2010,,1/8/15,,,read,,,,1,,,0,,,,,
18660669,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"Mead, Richelle",,Fantasy,599837,23304,,,5,4.11,Razorbill,Paperback,332,2013,2007,,1/8/15,,,read,,,,1,,,0,,,,,
6487308,"Fallen (Fallen, #1)",Lauren Kate,"Kate, Lauren",,Fantasy,540823,20419,0385738935,9780385738934,1,3.72,Delacorte Press,Hardcover,452,2009,2009,,1/8/15,,,read,,,,1,,,0,,,,,
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,Contemporary,1402283,64826,,,3,4.21,MTV Books/Pocket Books,Paperback,213,1999,1999,,1/8/15,,,read,,,,1,,,0,,,,,
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,Science Fiction,3242707,111354,0062024035,9780062024039,2,4.17,Katherine Tegen Books,Paperback,487,2012,2011,,1/8/15,,,read,,,,1,,,0,,,,,
161887,"East (East, #1)",Edith Pattou,"Pattou, Edith",,Fantasy,41033,2901,0152052216,9780152052218,4,4.14,HMH Books for Young Readers,Paperback,507,2005,2003,,1/8/15,,,read,,,,1,,,0,,,,,
24337,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,"Levine, Gail Carson",,Fantasy,407372,10802,0590920685,9780590920681,3,3.98,Scholastic Books,Paperback,232,1998,1997,,1/8/15,,,read,,,,1,,,0,,,,,
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",,Fantasy,794277,24831,0141382899,9780141382890,5,4.34,Puffin Books,Paperback,320,2007,2007,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,Science Fiction,6995458,179516,0439023483,9780439023481,5,4.32,Scholastic Press,ebook,284,2008,2008,,1/8/15,,,read,,,,1,,,0,,,,,
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,Fantasy,2272552,69363,,,5,4.27,Disney Hyperion Books,Paperback,377,2006,2005,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"Paolini, Christopher",,Fantasy,1549278,23548,0375826696,9780375826696,4,3.92,Alfred A. Knopf,Paperback,503,2005,2002,,1/8/15,,,read,,,,1,,,0,,,,,
500743,"The Wizard Heir (The Heir Chronicles, #2)",Cinda Williams Chima,"Chima, Cinda Williams",,Fantasy,40579,1521,1423104870,9781423104872,5,4.14,"Little, Brown Books for Young Readers",Hardcover,458,2008,2007,,1/8/15,,,read,,,,1,,,0,,,,,
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,Fantasy,1766035,66380,1416914285,9781416914280,4,4.09,Margaret K. McElderry Books,Hardcover,485,2007,2007,,1/8/15,,,read,,,,1,,,0,,,,,
